ParkingID,VehicleType,EntryTime,ExitTime,ParkingFee,Floor,SlotNumber,IsReserved,Violations
27,Bike,2023-03-27 22:35:00,2023-03-28 01:02:00,161.43,4,29,1,1
28,Bike,2023-03-17 10:24:00,2023-03-17 13:05:00,206.97,1,37,1,1
29,SUV,2023-05-10 09:56:00,2023-05-10 13:20:00,128.08,5,4,0,1
30,SUV,2023-10-02 00:24:00,2023-10-02 02:15:00,220.54,1,12,0,0
31,Car,2023-12-26 02:56:00,2023-12-26 03:40:00,40.78,4,26,0,0
32,Car,2023-06-03 18:01:00,2023-06-03 18:52:00,73.35,3,28,0,2
33,SUV,2023-05-05 07:00:00,2023-05-05 09:24:00,94.94,2,3,1,2
34,Bike,2023-06-30 21:24:00,2023-07-01 01:03:00,115.33,1,20,1,2
35,Bike,2023-04-09 06:34:00,2023-04-09 07:16:00,75.18,2,10,0,2
36,Car,2023-08-26 20:07:00,2023-08-26 21:16:00,101.26,5,18,1,1
37,SUV,2023-01-21 11:05:00,2023-01-21 15:00:00,179.66,3,27,0,2
38,Car,2023-09-18 01:06:00,2023-09-18 04:52:00,116.68,3,31,1,2
39,Car,2023-07-05 01:18:00,2023-07-05 05:11:00,375.24,1,27,1,1
40,Truck,2023-08-14 13:16:00,2023-08-14 14:06:00,77.71,3,42,0,0
41,Truck,2023-06-08 00:36:00,2023-06-08 03:59:00,297.9,1,1,0,2
42,Truck,2023-08-30 16:30:00,2023-08-30 17:28:00,80.49,1,6,1,0
43,Bike,2023-01-25 14:19:00,2023-01-25 14:39:00,18.69,2,11,0,2
44,SUV,2023-05-07 20:47:00,2023-05-07 21:19:00,60.79,3,34,0,0
45,SUV,2023-04-16 21:32:00,2023-04-16 23:40:00,149.96,1,39,0,2
46,SUV,2023-03-23 19:37:00,2023-03-23 21:11:00,120.09,2,20,0,0
47,SUV,2023-08-10 05:41:00,2023-08-10 06:27:00,84.48,4,21,1,0
48,Truck,2023-03-22 03:00:00,2023-03-22 04:25:00,110.84,2,21,1,2
49,Bike,2023-12-01 01:43:00,2023-12-01 02:46:00,37.07,2,18,1,0
50,Bike,2023-01-31 10:33:00,2023-01-31 13:34:00,301.61,1,21,1,2
51,Truck,2023-04-13 00:02:00,2023-04-13 00:21:00,30.09,5,19,0,2
52,Bike,2023-06-23 23:07:00,2023-06-24 01:26:00,152.33,5,4,0,1
53,Truck,2023-10-18 23:50:00,2023-10-19 02:00:00,90.97,5,13,0,2
54,SUV,2023-02-19 00:03:00,2023-02-19 00:29:00,14.77,2,18,1,2
55,Truck,2023-09-12 07:17:00,2023-09-12 08:00:00,72.76,1,29,1,2
56,SUV,2023-02-27 06:13:00,2023-02-27 07:56:00,143.85,3,25,1,2
57,SUV,2023-06-11 09:59:00,2023-06-11 12:44:00,191.6,2,13,1,1
58,Car,2023-10-13 11:13:00,2023-10-13 14:34:00,324.77,2,27,0,1
59,Truck,2023-04-26 14:17:00,2023-04-26 17:12:00,282.58,1,19,0,1
60,Car,2023-12-05 17:17:00,2023-12-05 19:12:00,110.79,4,49,0,1
61,Truck,2023-08-04 23:39:00,2023-08-05 00:27:00,58.1,2,1,1,0
62,Truck,2023-01-04 11:32:00,2023-01-04 11:52:00,17.41,4,38,1,2
63,Car,2023-10-21 03:06:00,2023-10-21 05:40:00,103.66,4,19,1,1
64,Car,2023-12-23 09:05:00,2023-12-23 10:59:00,57.34,5,1,1,2
65,Truck,2023-08-30 02:12:00,2023-08-30 03:48:00,114.42,1,40,1,1
66,Bike,2023-10-28 12:51:00,2023-10-28 13:16:00,37.36,4,17,1,2
67,SUV,2023-06-17 04:49:00,2023-06-17 07:58:00,102.49,1,21,0,0
68,Car,2023-01-08 18:05:00,2023-01-08 20:48:00,198.58,5,22,1,1
69,SUV,2023-10-19 23:25:00,2023-10-20 00:39:00,129.05,1,15,1,0
70,Bike,2023-10-28 20:49:00,2023-10-28 22:50:00,229.47,2,50,1,0
71,Bike,2023-07-05 04:30:00,2023-07-05 05:30:00,72.42,4,39,0,2
72,Bike,2023-10-29 14:41:00,2023-10-29 16:29:00,111.92,1,48,0,1
73,Car,2023-01-11 08:16:00,2023-01-11 12:04:00,333.56,3,39,1,0
74,Bike,2023-07-17 11:44:00,2023-07-17 14:16:00,142.08,1,32,0,2
75,Car,2023-11-24 07:43:00,2023-11-24 09:09:00,74.15,4,49,0,2
76,Bike,2023-04-19 06:29:00,2023-04-19 07:32:00,32.61,5,4,0,2
77,SUV,2023-07-22 09:27:00,2023-07-22 11:30:00,105.47,5,44,1,0
78,SUV,2023-06-07 14:10:00,2023-06-07 16:10:00,140.57,4,45,0,2
79,Truck,2023-12-03 17:32:00,2023-12-03 18:56:00,112.5,2,32,0,2
80,SUV,2023-12-17 07:37:00,2023-12-17 09:29:00,166.42,2,4,0,2
81,Truck,2023-06-27 08:44:00,2023-06-27 09:05:00,21.65,5,1,1,0
82,SUV,2023-05-24 07:30:00,2023-05-24 10:05:00,266.68,5,33,0,2
83,Car,2023-06-06 12:43:00,2023-06-06 13:04:00,27.59,4,7,1,0
84,SUV,2023-03-21 06:03:00,2023-03-21 06:41:00,33.75,2,9,0,2
85,Truck,2023-08-24 04:22:00,2023-08-24 07:09:00,231.76,5,1,1,0
86,Truck,2023-09-07 12:24:00,2023-09-07 15:05:00,269.77,2,16,1,0
87,Bike,2023-04-20 14:43:00,2023-04-20 15:34:00,79.79,5,18,1,1
88,Car,2023-07-26 08:54:00,2023-07-26 12:25:00,421.97,1,47,1,1
89,SUV,2023-10-04 14:31:00,2023-10-04 17:43:00,244.52,3,6,1,1
90,Bike,2023-03-14 07:02:00,2023-03-14 09:51:00,193.27,1,2,0,0
91,SUV,2023-01-29 00:35:00,2023-01-29 03:02:00,80.66,5,9,0,2
92,SUV,2023-02-21 01:37:00,2023-02-21 05:32:00,275.43,3,4,0,2
93,Bike,2023-08-21 20:15:00,2023-08-21 21:35:00,126.22,3,45,1,0
94,Bike,2023-07-31 16:35:00,2023-07-31 17:12:00,35.81,5,23,1,2
95,Bike,2023-02-25 08:37:00,2023-02-25 12:06:00,265.4,5,43,1,0
96,Bike,2023-08-31 08:56:00,2023-08-31 11:14:00,155.74,2,45,0,2
97,Bike,2023-08-13 15:48:00,2023-08-13 17:16:00,114.01,5,43,1,0
98,SUV,2023-09-15 23:00:00,2023-09-16 02:11:00,343.34,4,8,1,1
99,Bike,2023-01-13 07:45:00,2023-01-13 09:12:00,105.1,5,39,1,1
100,Car,2023-09-06 02:06:00,2023-09-06 05:52:00,374.53,4,25,1,2
101,Truck,2023-05-29 13:59:00,2023-05-29 16:49:00,326.26,5,16,0,2
102,Bike,2023-07-28 19:38:00,2023-07-28 20:12:00,43.67,2,35,1,2
103,Bike,2023-04-07 16:10:00,2023-04-07 19:03:00,199.23,4,17,1,2
104,SUV,2023-08-08 11:29:00,2023-08-08 12:46:00,71.75,1,18,1,1
105,Bike,2023-05-13 04:50:00,2023-05-13 07:34:00,298.36,4,27,1,1
106,Bike,2023-01-16 22:07:00,2023-01-16 23:11:00,103.59,2,15,0,0
107,Bike,2023-09-01 07:57:00,2023-09-01 08:59:00,87.81,4,17,1,2
108,SUV,2023-02-24 08:45:00,2023-02-24 11:35:00,149.91,5,43,0,1
109,Bike,2023-10-07 11:48:00,2023-10-07 14:40:00,214.58,5,5,0,0
110,Truck,2023-03-30 09:03:00,2023-03-30 12:14:00,128.8,2,16,1,0
111,SUV,2023-01-27 09:31:00,2023-01-27 10:19:00,65.77,3,15,1,0
112,Truck,2023-11-07 14:46:00,2023-11-07 18:28:00,169.97,5,42,0,1
113,SUV,2023-04-04 21:26:00,2023-04-04 23:38:00,125.63,1,46,1,0
114,Bike,2023-03-10 01:31:00,2023-03-10 02:34:00,53.34,2,34,1,2
115,Truck,2023-07-20 00:55:00,2023-07-20 03:33:00,166.8,4,48,0,0
116,SUV,2023-06-14 11:42:00,2023-06-14 13:05:00,42.11,4,19,0,0
117,Car,2023-08-25 09:16:00,2023-08-25 11:58:00,253.29,1,8,0,1
118,Bike,2023-07-09 03:48:00,2023-07-09 04:50:00,60.36,5,47,0,0
119,SUV,2023-11-09 18:30:00,2023-11-09 18:53:00,19.34,2,10,0,1
120,Car,2023-04-01 09:41:00,2023-04-01 11:56:00,218.06,1,5,0,1
121,SUV,2023-05-11 11:42:00,2023-05-11 12:33:00,68.45,5,48,1,2
122,Car,2023-12-16 15:50:00,2023-12-16 19:20:00,346.98,2,26,1,0
123,Bike,2023-05-03 05:28:00,2023-05-03 07:25:00,161.68,4,22,1,2
124,Truck,2023-05-08 13:54:00,2023-05-08 14:31:00,23.04,2,44,1,2
125,Car,2023-09-10 17:30:00,2023-09-10 17:52:00,28.16,3,23,1,0
126,SUV,2023-04-30 17:37:00,2023-04-30 20:17:00,119.01,2,13,1,0
127,Bike,2023-06-25 08:18:00,2023-06-25 10:23:00,202.51,3,9,1,1
128,Car,2023-02-03 02:47:00,2023-02-03 04:48:00,134.09,2,49,1,0
129,SUV,2023-10-15 08:05:00,2023-10-15 11:37:00,193.4,3,20,1,1
130,SUV,2023-07-07 12:34:00,2023-07-07 16:04:00,312.04,4,28,0,2
131,SUV,2023-09-29 16:56:00,2023-09-29 19:42:00,214.13,5,44,0,2
132,Car,2023-04-09 07:31:00,2023-04-09 08:18:00,49.2,3,37,1,1
133,Car,2023-03-30 07:45:00,2023-03-30 11:32:00,336.34,3,24,1,0
134,Car,2023-06-01 06:53:00,2023-06-01 10:44:00,369.35,4,44,0,0
135,Truck,2023-03-10 19:18:00,2023-03-10 22:46:00,114.13,3,33,0,1
136,Car,2023-12-18 04:57:00,2023-12-18 08:28:00,240.86,1,20,0,2
137,Car,2023-07-11 05:45:00,2023-07-11 06:43:00,104.5,4,48,1,1
138,Car,2023-11-13 19:19:00,2023-11-13 23:18:00,269.77,1,30,0,0
139,Truck,2023-03-01 17:02:00,2023-03-01 18:06:00,34.84,4,44,0,0
140,Car,2023-10-26 02:34:00,2023-10-26 06:19:00,213.72,3,9,0,1
141,SUV,2023-07-12 22:29:00,2023-07-12 23:59:00,109.98,1,45,1,0
142,Car,2023-06-20 15:37:00,2023-06-20 15:58:00,27.9,3,49,0,2
143,SUV,2023-05-06 22:57:00,2023-05-07 00:54:00,90.69,4,17,1,1
144,SUV,2023-09-09 16:55:00,2023-09-09 17:13:00,22.73,3,36,0,2
145,SUV,2023-09-04 10:23:00,2023-09-04 11:06:00,85.6,1,14,0,2
146,Truck,2023-06-25 21:08:00,2023-06-25 22:28:00,140.1,1,19,1,1
147,Truck,2023-09-29 10:54:00,2023-09-29 14:21:00,400.64,3,7,0,1
148,Truck,2023-01-22 18:09:00,2023-01-22 19:05:00,31.81,2,3,0,0
149,Car,2023-07-15 03:14:00,2023-07-15 06:06:00,193.93,4,33,0,0
150,SUV,2023-10-06 13:31:00,2023-10-06 17:24:00,130.79,4,44,1,1
151,Truck,2023-08-03 17:35:00,2023-08-03 18:13:00,54.68,3,32,1,1
152,Truck,2023-10-11 06:10:00,2023-10-11 09:41:00,152.2,2,47,1,0
153,Car,2023-08-17 17:01:00,2023-08-17 19:42:00,316.48,1,11,0,0
154,Truck,2023-01-19 06:24:00,2023-01-19 08:33:00,108.21,5,42,1,0
155,Car,2023-04-02 14:11:00,2023-04-02 15:22:00,100.9,5,2,0,1
156,Bike,2023-10-23 12:18:00,2023-10-23 14:17:00,190.95,3,26,0,1
157,Truck,2023-02-28 10:52:00,2023-02-28 13:25:00,160.24,2,4,0,0
158,Bike,2023-02-10 11:35:00,2023-02-10 12:10:00,36.02,2,17,0,2
159,Car,2023-02-10 09:50:00,2023-02-10 13:11:00,219.57,4,17,0,2
160,SUV,2023-04-02 06:40:00,2023-04-02 08:22:00,77.45,1,28,0,0
161,Truck,2023-02-07 10:53:00,2023-02-07 13:24:00,156.56,2,30,0,1
162,Car,2023-07-23 19:07:00,2023-07-23 22:55:00,262.38,5,40,0,1
163,SUV,2023-06-27 01:04:00,2023-06-27 02:12:00,37.01,1,23,1,2
164,SUV,2023-09-05 13:33:00,2023-09-05 14:55:00,132.52,1,46,1,0
165,Bike,2023-03-27 12:24:00,2023-03-27 15:37:00,266.25,3,24,0,2
166,Car,2023-07-23 22:27:00,2023-07-24 00:47:00,275.01,2,29,1,2
167,SUV,2023-11-13 01:07:00,2023-11-13 04:24:00,191.04,3,4,1,0
168,Truck,2023-09-28 04:47:00,2023-09-28 05:20:00,39.71,2,38,1,2
169,Truck,2023-06-06 11:21:00,2023-06-06 14:13:00,305.16,4,29,0,1
170,Bike,2023-09-02 01:05:00,2023-09-02 01:23:00,33.44,3,19,1,2
171,SUV,2023-04-23 19:29:00,2023-04-23 23:19:00,442.78,3,27,0,0
172,Car,2023-09-16 17:40:00,2023-09-16 20:25:00,135.22,5,29,1,1
173,Truck,2023-11-13 02:58:00,2023-11-13 05:16:00,127.32,3,36,1,1
174,SUV,2023-02-21 14:26:00,2023-02-21 15:37:00,53.38,2,35,1,2
175,SUV,2023-01-21 23:47:00,2023-01-22 00:38:00,86.57,5,6,0,1
176,Bike,2023-07-21 19:33:00,2023-07-21 22:53:00,292.69,3,23,0,0
177,Truck,2023-09-03 23:20:00,2023-09-04 03:19:00,334.87,3,39,0,2
178,Truck,2023-07-27 10:35:00,2023-07-27 13:56:00,296.77,4,46,0,1
179,Car,2023-10-15 20:30:00,2023-10-15 23:25:00,347.14,3,44,0,0
180,Truck,2023-11-24 07:54:00,2023-11-24 10:02:00,98.48,1,48,0,2
181,Car,2023-10-30 14:46:00,2023-10-30 17:10:00,132.14,5,8,0,0
182,Truck,2023-08-22 16:59:00,2023-08-22 18:54:00,109.05,1,2,0,1
183,Bike,2023-04-04 00:00:00,2023-04-04 03:02:00,185.89,5,13,0,2
184,Truck,2023-02-28 00:24:00,2023-02-28 01:54:00,55.58,4,40,1,2
185,Car,2023-02-24 01:06:00,2023-02-24 04:49:00,242.53,3,21,1,1
186,Car,2023-12-02 09:23:00,2023-12-02 09:58:00,60.38,3,31,0,0
187,Bike,2023-12-12 03:49:00,2023-12-12 05:05:00,112.99,3,48,1,1
188,Truck,2023-11-30 07:23:00,2023-11-30 08:33:00,39.75,5,36,1,2
189,Truck,2023-09-30 06:34:00,2023-09-30 09:13:00,260.75,3,48,0,2
190,Bike,2023-03-01 12:25:00,2023-03-01 14:35:00,226.28,1,38,0,1
191,Truck,2023-08-03 17:09:00,2023-08-03 18:13:00,39.2,3,27,1,0
192,Truck,2023-12-16 23:00:00,2023-12-17 00:45:00,207.98,4,36,0,1
193,Car,2023-10-17 05:51:00,2023-10-17 06:33:00,54.89,1,48,1,0
194,Truck,2023-06-21 04:59:00,2023-06-21 08:33:00,334.43,3,23,0,0
195,Truck,2023-09-03 22:20:00,2023-09-04 01:31:00,261.98,3,21,1,2
196,Bike,2023-07-03 16:43:00,2023-07-03 19:20:00,197.65,2,13,0,0
197,Bike,2023-10-13 07:08:00,2023-10-13 10:18:00,127.86,5,37,1,2
198,SUV,2023-02-24 10:11:00,2023-02-24 12:06:00,197.34,1,47,1,0
199,Car,2023-07-19 05:39:00,2023-07-19 08:02:00,233.49,2,26,1,0
200,Truck,2023-08-13 14:26:00,2023-08-13 17:01:00,117.79,4,40,1,2
201,Truck,2023-07-29 19:29:00,2023-07-29 20:45:00,73.06,5,7,0,0
202,SUV,2023-05-08 15:54:00,2023-05-08 16:23:00,49.3,1,46,1,1
203,Truck,2023-03-05 13:18:00,2023-03-05 15:44:00,134.79,3,39,0,0
204,Car,2023-12-02 07:46:00,2023-12-02 08:20:00,26.26,1,22,1,2
205,SUV,2023-07-19 04:54:00,2023-07-19 08:15:00,308.12,3,39,0,2
206,Car,2023-02-06 19:39:00,2023-02-06 20:14:00,24.56,5,23,1,1
207,SUV,2023-02-21 17:52:00,2023-02-21 21:16:00,151.5,3,30,0,0
208,SUV,2023-10-12 00:25:00,2023-10-12 00:49:00,27.16,4,18,1,1
209,Bike,2023-01-04 21:18:00,2023-01-05 00:38:00,159.51,3,42,1,0
210,Car,2023-06-12 20:56:00,2023-06-12 22:32:00,119.37,4,18,0,1
211,Truck,2023-09-26 04:09:00,2023-09-26 05:25:00,98.59,5,46,1,2
212,Truck,2023-11-26 04:51:00,2023-11-26 08:10:00,230.56,5,10,1,2
213,Car,2023-08-07 23:36:00,2023-08-08 02:28:00,226.06,1,39,1,1
214,Truck,2023-07-23 12:08:00,2023-07-23 15:30:00,206.45,4,30,1,0
215,Truck,2023-10-05 22:18:00,2023-10-06 01:18:00,176.86,4,26,0,0
216,Car,2023-04-20 02:04:00,2023-04-20 05:45:00,202.68,2,7,1,2
217,SUV,2023-07-26 19:34:00,2023-07-26 20:02:00,21.45,2,7,0,0
218,Car,2023-01-08 23:33:00,2023-01-09 00:49:00,74.75,2,5,0,1
219,SUV,2023-11-21 22:25:00,2023-11-22 00:28:00,192.16,3,1,0,1
220,Truck,2023-08-21 11:20:00,2023-08-21 14:22:00,279.76,2,46,0,0
221,Truck,2023-02-15 16:21:00,2023-02-15 18:58:00,267.24,4,18,1,2
222,Truck,2023-07-15 10:07:00,2023-07-15 11:04:00,49.69,3,13,1,2
223,Bike,2023-08-19 09:53:00,2023-08-19 10:39:00,56.19,5,25,0,2
224,SUV,2023-02-03 12:22:00,2023-02-03 14:14:00,68.53,1,40,1,2
225,Bike,2023-11-21 01:58:00,2023-11-21 02:42:00,30.86,2,8,1,2
226,Bike,2023-01-03 19:04:00,2023-01-03 21:55:00,107.02,5,10,0,1
227,Car,2023-02-03 00:32:00,2023-02-03 03:36:00,186.2,4,32,0,0
228,Bike,2023-01-24 12:29:00,2023-01-24 13:24:00,48.94,1,17,0,1
229,Car,2023-03-26 05:15:00,2023-03-26 06:23:00,75.46,5,38,1,2
230,Car,2023-02-07 03:36:00,2023-02-07 04:14:00,27.65,1,15,0,2
231,Bike,2023-03-03 12:17:00,2023-03-03 15:15:00,279.03,2,15,0,0
232,SUV,2023-09-06 01:43:00,2023-09-06 03:53:00,101.69,4,48,1,0
233,SUV,2023-11-25 14:34:00,2023-11-25 14:50:00,18.61,1,40,1,0
234,SUV,2023-01-29 12:14:00,2023-01-29 14:50:00,284.25,5,20,1,1
235,SUV,2023-04-24 05:32:00,2023-04-24 06:22:00,61.9,2,15,1,0
236,SUV,2023-11-08 10:47:00,2023-11-08 14:39:00,197.55,2,35,1,1
237,Bike,2023-03-25 11:39:00,2023-03-25 15:24:00,422.95,5,6,1,2
238,Bike,2023-03-05 13:58:00,2023-03-05 15:28:00,165.48,5,30,1,1
239,Truck,2023-11-29 07:42:00,2023-11-29 08:04:00,27.64,1,8,1,0
240,SUV,2023-01-20 02:01:00,2023-01-20 05:58:00,249.81,3,31,0,1
241,Bike,2023-08-05 08:01:00,2023-08-05 10:24:00,97.37,2,48,1,1
242,Truck,2023-12-30 23:36:00,2023-12-31 01:55:00,193.72,1,47,0,1
243,SUV,2023-05-08 10:52:00,2023-05-08 14:28:00,175.48,5,32,1,0
244,Car,2023-11-19 14:26:00,2023-11-19 14:51:00,43.92,1,45,1,1
245,Truck,2023-05-23 18:39:00,2023-05-23 20:06:00,57.06,5,15,0,0
246,Bike,2023-03-20 07:07:00,2023-03-20 07:38:00,18.54,4,18,1,1
247,Car,2023-05-18 01:36:00,2023-05-18 04:37:00,287.17,5,13,0,1
248,Car,2023-06-26 22:00:00,2023-06-27 00:56:00,91.09,5,24,1,1
249,Car,2023-09-30 02:36:00,2023-09-30 05:09:00,167.17,5,40,0,0
250,Truck,2023-01-18 18:25:00,2023-01-18 19:29:00,100.84,3,14,0,0
251,Bike,2023-08-18 21:12:00,2023-08-18 21:45:00,57.17,5,28,1,0
252,Car,2023-06-02 12:16:00,2023-06-02 14:06:00,180.12,2,11,0,2
253,SUV,2023-09-10 02:30:00,2023-09-10 05:47:00,169.09,2,6,0,0
254,Car,2023-10-25 19:46:00,2023-10-25 23:03:00,307.58,1,25,1,1
255,Car,2023-08-04 09:31:00,2023-08-04 13:05:00,235.12,3,1,1,2
256,Truck,2023-01-31 23:00:00,2023-01-31 23:35:00,27.9,1,25,0,0
257,Truck,2023-04-11 01:36:00,2023-04-11 03:11:00,108.92,2,2,1,0
258,Bike,2023-09-27 10:13:00,2023-09-27 12:16:00,150.42,2,32,0,2
259,SUV,2023-10-23 11:35:00,2023-10-23 13:48:00,263.46,4,13,0,2
260,Truck,2023-07-15 21:04:00,2023-07-15 21:58:00,71.82,5,33,0,0
261,Car,2023-12-07 04:07:00,2023-12-07 06:41:00,83.21,2,32,1,2
262,Bike,2023-06-02 10:50:00,2023-06-02 14:05:00,138.27,1,24,1,1
263,Car,2023-03-19 16:17:00,2023-03-19 17:23:00,83.08,1,27,0,1
264,Car,2023-03-21 07:47:00,2023-03-21 11:33:00,420.17,5,4,0,1
265,Truck,2023-05-03 22:03:00,2023-05-04 00:47:00,156.65,5,24,0,0
266,Bike,2023-09-18 20:11:00,2023-09-18 20:51:00,77.89,4,23,1,1
267,SUV,2023-04-01 15:34:00,2023-04-01 16:54:00,111.99,3,29,0,2
268,SUV,2023-02-27 00:27:00,2023-02-27 01:57:00,169.6,1,34,1,1
269,Truck,2023-03-30 13:00:00,2023-03-30 15:54:00,210.27,5,21,0,2
270,Truck,2023-09-17 07:33:00,2023-09-17 10:47:00,356.63,1,30,0,1
271,Bike,2023-10-14 07:23:00,2023-10-14 10:14:00,241.95,5,26,0,2
272,SUV,2023-11-04 10:04:00,2023-11-04 12:54:00,283.16,2,20,0,1
273,SUV,2023-04-26 09:59:00,2023-04-26 13:33:00,302.04,1,16,1,1
274,SUV,2023-01-21 23:11:00,2023-01-21 23:33:00,11.68,2,3,1,1
275,Car,2023-08-06 01:02:00,2023-08-06 03:39:00,115.72,1,49,1,2
276,SUV,2023-08-08 12:45:00,2023-08-08 14:08:00,93.95,3,37,1,2
277,Car,2023-07-18 22:33:00,2023-07-18 23:42:00,115.55,4,40,1,1
278,Bike,2023-11-06 20:18:00,2023-11-06 22:19:00,180.3,2,44,0,2
279,Car,2023-03-20 20:57:00,2023-03-20 21:36:00,24.45,5,25,1,2
280,Bike,2023-09-18 03:41:00,2023-09-18 04:28:00,27.74,3,23,1,0
281,SUV,2023-03-03 05:29:00,2023-03-03 09:18:00,264.34,1,44,1,1
282,SUV,2023-08-12 14:39:00,2023-08-12 16:20:00,182.53,2,1,1,2
283,Bike,2023-06-11 19:12:00,2023-06-11 20:10:00,81.68,1,33,0,2
284,Truck,2023-03-07 19:06:00,2023-03-07 20:05:00,92.84,1,15,0,2
285,Bike,2023-06-01 14:02:00,2023-06-01 17:15:00,211.13,1,17,0,2
286,Truck,2023-04-12 10:00:00,2023-04-12 12:10:00,242.78,4,34,1,0
287,Car,2023-10-03 07:07:00,2023-10-03 10:10:00,130.23,4,17,0,2
288,Car,2023-12-28 16:23:00,2023-12-28 18:03:00,56.05,5,41,0,2
289,Car,2023-04-18 04:45:00,2023-04-18 05:29:00,85.4,2,44,1,0
290,SUV,2023-03-23 17:02:00,2023-03-23 18:20:00,48.27,3,4,1,1
291,Car,2023-01-24 08:32:00,2023-01-24 09:09:00,52.96,3,13,1,1
292,Truck,2023-09-14 01:22:00,2023-09-14 04:19:00,325.39,3,4,0,0
293,Car,2023-02-08 12:20:00,2023-02-08 15:08:00,181.26,1,7,1,1
294,Bike,2023-03-14 19:45:00,2023-03-14 21:29:00,171.39,4,46,0,1
295,Bike,2023-11-20 00:36:00,2023-11-20 02:43:00,109.24,2,9,0,0
296,SUV,2023-05-29 04:08:00,2023-05-29 04:48:00,37.7,1,23,0,2
297,Bike,2023-04-19 18:46:00,2023-04-19 22:41:00,314.45,4,33,0,0
298,Truck,2023-05-12 18:32:00,2023-05-12 21:00:00,271.25,4,33,0,0
299,Car,2023-02-01 02:05:00,2023-02-01 02:25:00,15.29,2,20,1,0
300,SUV,2023-02-17 08:09:00,2023-02-17 08:59:00,91.21,2,4,0,0
301,Car,2023-11-09 03:59:00,2023-11-09 05:52:00,189.49,2,1,0,0
302,Car,2023-07-04 05:26:00,2023-07-04 06:09:00,44.17,1,42,0,2
303,Truck,2023-04-24 15:19:00,2023-04-24 19:17:00,153.41,5,34,0,1
304,Bike,2023-06-03 13:20:00,2023-06-03 16:43:00,354.01,2,27,0,0
305,Bike,2023-08-13 23:13:00,2023-08-14 01:14:00,91.72,5,21,1,2
306,Car,2023-01-04 06:55:00,2023-01-04 07:55:00,92.48,1,24,0,0
307,SUV,2023-06-06 13:03:00,2023-06-06 16:19:00,366.31,5,15,0,2
308,Bike,2023-06-20 07:41:00,2023-06-20 08:32:00,59.09,3,35,0,1
309,SUV,2023-02-16 14:14:00,2023-02-16 15:23:00,38.85,5,25,0,2
310,Bike,2023-06-24 03:56:00,2023-06-24 06:57:00,270.57,2,9,1,2
311,SUV,2023-06-08 07:43:00,2023-06-08 09:05:00,71.3,1,17,0,1
312,Truck,2023-02-06 13:54:00,2023-02-06 17:19:00,200.78,2,21,0,1
313,SUV,2023-09-03 23:41:00,2023-09-04 03:30:00,300.57,3,13,0,2
314,Truck,2023-01-26 14:17:00,2023-01-26 16:47:00,264.58,2,3,0,0
315,Truck,2023-07-27 08:51:00,2023-07-27 10:38:00,109.93,2,4,1,0
316,SUV,2023-09-24 10:51:00,2023-09-24 12:20:00,120.45,2,4,1,1
317,Truck,2023-03-27 12:25:00,2023-03-27 13:32:00,76.98,4,43,1,0
